iter	Passed	Remaining
766	12282	3731
767	12298	3715
768	12313	3698
769	12329	3682
770	12344	3666
771	12360	3650
772	12376	3634
773	12391	3618
774	12407	3602
775	12422	3585
776	12437	3569
777	12454	3553
778	12469	3537
779	12485	3521
780	12501	3505
781	12516	3489
782	12531	3473
783	12548	3457
784	12564	3441
785	12579	3425
786	12596	3409
787	12611	3393
788	12626	3376
789	12641	3360
790	12658	3344
791	12674	3328
792	12689	3312
793	12706	3296
794	12722	3280
795	12737	3264
796	12754	3248
797	12769	3232
798	12785	3216
799	12800	3200
800	12816	3184
801	12831	3167
802	12847	3151
803	12863	3135
804	12878	3119
805	12893	3103
806	12909	3087
807	12925	3071
808	12941	3055
809	12957	3039
810	12973	3023
811	12989	3007
812	13005	2991
813	13020	2975
814	13035	2959
815	13050	2942
816	13067	2926
817	13082	2910
818	13098	2894
819	13113	2878
820	13129	2862
821	13144	2846
822	13159	2830
823	13176	2814
824	13191	2798
825	13208	2782
826	13224	2766
827	13240	2750
828	13255	2734
829	13271	2718
830	13287	2702
831	13303	2686
832	13318	2670
833	13334	2654
834	13349	2637
835	13364	2621
836	13380	2605
837	13396	2589
838	13411	2573
839	13427	2557
840	13442	2541
841	13457	2525
842	13474	2509
843	13489	2493
844	13505	2477
845	13521	2461
846	13537	2445
847	13553	2429
848	13568	2413
849	13583	2397
850	13599	2381
851	13615	2365
852	13631	2349
853	13647	2333
854	13664	2317
855	13680	2301
856	13695	2285
857	13711	2269
858	13727	2253
859	13742	2237
860	13757	2221
861	13773	2204
862	13789	2188
863	13805	2173
864	13820	2156
865	13836	2141
866	13852	2125
867	13867	2108
868	13883	2092
869	13899	2076
870	13914	2060
871	13930	2044
872	13945	2028
873	13961	2012
874	13977	1996
875	13992	1980
876	14007	1964
877	14024	1948
878	14039	1932
879	14055	1916
880	14070	1900
881	14086	1884
882	14102	1868
883	14118	1852
884	14133	1836
885	14149	1820
886	14165	1804
887	14181	1788
888	14197	1772
889	14212	1756
890	14228	1740
891	14243	1724
892	14259	1708
893	14274	1692
894	14289	1676
895	14305	1660
896	14320	1644
897	14337	1628
898	14353	1612
899	14369	1596
900	14384	1580
901	14401	1564
902	14417	1548
903	14433	1532
904	14448	1516
905	14464	1500
906	14479	1484
907	14495	1468
908	14511	1452
909	14527	1436
910	14542	1420
911	14558	1404
912	14574	1388
913	14590	1372
914	14606	1356
915	14622	1340
916	14639	1325
917	14654	1309
918	14670	1293
919	14686	1277
920	14702	1261
921	14718	1245
922	14734	1229
923	14750	1213
924	14766	1197
925	14782	1181
926	14798	1165
927	14814	1149
928	14830	1133
929	14847	1117
930	14862	1101
931	14878	1085
932	14894	1069
933	14909	1053
934	14925	1037
935	14942	1021
936	14957	1005
937	14973	989
938	14989	973
939	15004	957
940	15020	941
941	15036	925
942	15051	909
943	15067	893
944	15083	877
945	15098	861
946	15113	845
947	15129	829
948	15144	813
949	15160	797
950	15177	782
951	15194	766
952	15209	750
953	15225	734
954	15240	718
955	15257	702
956	15272	686
957	15288	670
958	15304	654
959	15320	638
960	15336	622
961	15352	606
962	15367	590
963	15382	574
964	15398	558
965	15414	542
966	15429	526
967	15445	510
968	15461	494
969	15476	478
970	15492	462
971	15507	446
972	15522	430
973	15538	414
974	15554	398
975	15570	382
976	15586	366
977	15602	350
978	15619	335
979	15634	319
980	15650	303
981	15665	287
982	15681	271
983	15696	255
984	15711	239
985	15728	223
986	15744	207
987	15759	191
988	15775	175
989	15790	159
990	15805	143
991	15821	127
992	15836	111
993	15851	95
994	15867	79
995	15883	63
996	15899	47
997	15915	31
998	15930	15
999	15947	0
